source_file	organism_name
protozoa.txt	Cavenderia fasciculata
protozoa.txt	Emiliania huxleyi CCMP1516
protozoa.txt	Entamoeba histolytica HM-1:IMSS
protozoa.txt	Thalassiosira pseudonana CCMP1335
protozoa.txt	Cryptosporidium bovis
protozoa.txt	Tetrahymena thermophila SB210
protozoa.txt	Babesia duncani
protozoa.txt	Theileria parva strain Muguga
protozoa.txt	Leishmania major strain Friedlin
protozoa.txt	Spironucleus salmonicida
protozoa.txt	Dictyostelium discoideum AX4
protozoa.txt	Cryptosporidium hominis TU502
protozoa.txt	Cryptosporidium parvum Iowa II
protozoa.txt	Entamoeba dispar SAW760
protozoa.txt	Entamoeba invadens IP1
protozoa.txt	Phytophthora infestans T30-4
protozoa.txt	Paramecium tetraurelia strain d4-2
protozoa.txt	Trichomonas vaginalis G3
protozoa.txt	Leishmania braziliensis MHOM/BR/75/M2904
protozoa.txt	Perkinsus marinus ATCC 50983
protozoa.txt	Leishmania infantum JPCM5
protozoa.txt	Cryptosporidium muris RN66
protozoa.txt	Thecamonas trahens ATCC 50062
protozoa.txt	Babesia sp. Xinjiang
protozoa.txt	Hemiselmis andersenii
protozoa.txt	Cystoisospora suis
protozoa.txt	Babesia bovis T2Bo
protozoa.txt	Toxoplasma gondii ME49
protozoa.txt	Cryptosporidium ryanae
protozoa.txt	Phaeodactylum tricornutum CCAP 1055/1
protozoa.txt	Neospora caninum Liverpool
protozoa.txt	Plasmodium gaboni
protozoa.txt	Heterostelium album PN500
protozoa.txt	Trypanosoma brucei gambiense DAL972
protozoa.txt	Saprolegnia parasitica CBS 223.65
protozoa.txt	Trypanosoma melophagium
protozoa.txt	Phytophthora nicotianae INRA-310
protozoa.txt	Cryptosporidium ubiquitum
protozoa.txt	Theileria orientalis strain Shintoku
protozoa.txt	Plasmodium sp. gorilla clade G2
protozoa.txt	Guillardia theta CCMP2712
protozoa.txt	Leishmania mexicana MHOM/GT/2001/U1103
protozoa.txt	Blastocystis sp. subtype 4
protozoa.txt	Entamoeba nuttalli P19
protozoa.txt	Nannochloropsis gaditana CCMP526
protozoa.txt	Plasmodium cynomolgi strain B
protozoa.txt	Babesia microti strain RI
protozoa.txt	Tritrichomonas foetus
protozoa.txt	Saprolegnia diclina VS20
protozoa.txt	Plasmodium inui San Antonio 1
protozoa.txt	Acanthamoeba castellanii str. Neff
protozoa.txt	Cryptosporidium sp. chipmunk genotype I
protozoa.txt	Acytostelium subglobosum LB1
protozoa.txt	Theileria equi strain WA
protozoa.txt	Leishmania martiniquensis
protozoa.txt	Monocercomonoides exilis
protozoa.txt	Leishmania orientalis
